date,nav,return_pct,wins,sells
2025-11-10,10000000.0,0.0,0,0
2025-11-11,19223003.75,92.23003745980002,897,898
2025-11-12,19178118.02,91.78118017001997,898,904
2025-11-13,19211010.68,92.110106815552,902,910
2025-11-14,19196186.16,91.96186159441203,904,915
2025-11-17,19196186.16,91.96186159441203,904,915
2025-11-18,19216619.88,92.16619882441204,905,916
2025-11-19,19222603.7,92.226037028388,906,919
2025-11-20,19256631.46,92.56631458465799,910,926
2025-11-21,19487153.13,94.87153132867303,939,959
2025-11-24,19460122.99,94.60122989217699,939,961
2025-11-25,19475835.33,94.75835328502697,942,967
2025-11-26,19530637.17,95.30637166984539,967,997
2025-11-27,19782312.17,97.82312168898038,969,1000
